semana,bairro,crimes,lag_1,lag_2,lag_3,media_movel_4,tendencia_1,semana_ano,mes
2023-06-19,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,25,6
2023-06-26,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,26,6
2023-07-03,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,27,7
2023-07-10,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,28,7
2023-07-17,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,29,7
2023-07-24,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,30,7
2023-07-31,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,31,7
2023-08-07,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,32,8
2023-08-14,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,33,8
2023-08-21,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,34,8
2023-08-28,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,35,8
2023-09-04,AEROLANDIA,1,0.0,0.0,0.0,0.0,0.0,36,9
2023-09-11,AEROLANDIA,0,1.0,0.0,0.0,0.25,1.0,37,9
2023-09-18,AEROLANDIA,0,0.0,1.0,0.0,0.25,-1.0,38,9
2023-09-25,AEROLANDIA,0,0.0,0.0,1.0,0.25,0.0,39,9
2023-10-02,AEROLANDIA,0,0.0,0.0,0.0,0.25,0.0,40,10
2023-10-09,AEROLANDIA,1,0.0,0.0,0.0,0.0,0.0,41,10
2023-10-16,AEROLANDIA,0,1.0,0.0,0.0,0.25,1.0,42,10
2023-10-23,AEROLANDIA,0,0.0,1.0,0.0,0.25,-1.0,43,10
2023-10-30,AEROLANDIA,0,0.0,0.0,1.0,0.25,0.0,44,10
2023-11-06,AEROLANDIA,0,0.0,0.0,0.0,0.25,0.0,45,11
2023-11-13,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,46,11
2023-11-20,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,47,11
2023-11-27,AEROLANDIA,1,0.0,0.0,0.0,0.0,0.0,48,11
2023-12-04,AEROLANDIA,0,1.0,0.0,0.0,0.25,1.0,49,12
2023-12-11,AEROLANDIA,0,0.0,1.0,0.0,0.25,-1.0,50,12
2023-12-18,AEROLANDIA,1,0.0,0.0,1.0,0.25,0.0,51,12
2023-12-25,AEROLANDIA,0,1.0,0.0,0.0,0.5,1.0,52,12
2024-01-01,AEROLANDIA,1,0.0,1.0,0.0,0.25,-1.0,1,1
2024-01-08,AEROLANDIA,0,1.0,0.0,1.0,0.5,1.0,2,1
2024-01-15,AEROLANDIA,0,0.0,1.0,0.0,0.5,-1.0,3,1
2024-01-22,AEROLANDIA,1,0.0,0.0,1.0,0.25,0.0,4,1
2024-01-29,AEROLANDIA,0,1.0,0.0,0.0,0.5,1.0,5,1
2024-02-05,AEROLANDIA,0,0.0,1.0,0.0,0.25,-1.0,6,2
2024-02-12,AEROLANDIA,0,0.0,0.0,1.0,0.25,0.0,7,2
2024-02-19,AEROLANDIA,0,0.0,0.0,0.0,0.25,0.0,8,2
2024-02-26,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,9,2
2024-03-04,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,10,3
2024-03-11,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,11,3
2024-03-18,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,12,3
2024-03-25,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,13,3
2024-04-01,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,14,4
2024-04-08,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,15,4
2024-04-15,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,16,4
2024-04-22,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,17,4
2024-04-29,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,18,4
2024-05-06,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,19,5
2024-05-13,AEROLANDIA,1,0.0,0.0,0.0,0.0,0.0,20,5
2024-05-20,AEROLANDIA,0,1.0,0.0,0.0,0.25,1.0,21,5
2024-05-27,AEROLANDIA,0,0.0,1.0,0.0,0.25,-1.0,22,5
2024-06-03,AEROLANDIA,0,0.0,0.0,1.0,0.25,0.0,23,6
2024-06-10,AEROLANDIA,0,0.0,0.0,0.0,0.25,0.0,24,6
2024-06-17,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,25,6
2024-06-24,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,26,6
2024-07-01,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,27,7
2024-07-08,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,28,7
2024-07-15,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,29,7
2024-07-22,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,30,7
2024-07-29,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,31,7
2024-08-05,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,32,8
2024-08-12,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,33,8
2024-08-19,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,34,8
2024-08-26,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,35,8
2024-09-02,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,36,9
2024-09-09,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,37,9
