semana,bairro,crimes,lag_1,lag_2,lag_3,media_movel_4,tendencia_1,semana_ano,mes
2024-09-16,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,38,9
2024-09-23,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,39,9
2024-09-30,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,40,9
2024-10-07,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,41,10
2024-10-14,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,42,10
2024-10-21,AEROLANDIA,1,0.0,0.0,0.0,0.0,0.0,43,10
2024-10-28,AEROLANDIA,0,1.0,0.0,0.0,0.25,1.0,44,10
2024-11-04,AEROLANDIA,0,0.0,1.0,0.0,0.25,-1.0,45,11
2024-11-11,AEROLANDIA,0,0.0,0.0,1.0,0.25,0.0,46,11
2024-11-18,AEROLANDIA,0,0.0,0.0,0.0,0.25,0.0,47,11
2024-11-25,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,48,11
2024-12-02,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,49,12
2024-12-09,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,50,12
2024-12-16,AEROLANDIA,1,0.0,0.0,0.0,0.0,0.0,51,12
2024-12-23,AEROLANDIA,0,1.0,0.0,0.0,0.25,1.0,52,12
2024-12-30,AEROLANDIA,0,0.0,1.0,0.0,0.25,-1.0,1,12
2025-01-06,AEROLANDIA,0,0.0,0.0,1.0,0.25,0.0,2,1
2025-01-13,AEROLANDIA,0,0.0,0.0,0.0,0.25,0.0,3,1
2025-01-20,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,4,1
2025-01-27,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,5,1
2025-02-03,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,6,2
2025-02-10,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,7,2
2025-02-17,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,8,2
2025-02-24,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,9,2
2025-03-03,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,10,3
2025-03-10,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,11,3
2025-03-17,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,12,3
2025-03-24,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,13,3
2025-03-31,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,14,3
2025-04-07,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,15,4
2025-04-14,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,16,4
2025-04-21,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,17,4
2025-04-28,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,18,4
2025-05-05,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,19,5
2025-05-12,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,20,5
2025-05-19,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,21,5
2025-05-26,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,22,5
2025-06-02,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,23,6
2025-06-09,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,24,6
2025-06-16,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,25,6
2025-06-23,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,26,6
2025-06-30,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,27,6
2025-07-07,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,28,7
2025-07-14,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,29,7
2025-07-21,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,30,7
2025-07-28,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,31,7
2025-08-04,AEROLANDIA,0,0.0,0.0,0.0,0.0,0.0,32,8
