hex_id,model,train_rows,test_rows,mse,mae,status
2,poisson,207,24,0.04008361357887366,0.10113949900785248,evaluated
3,poisson,207,24,0.05078245074155011,0.17305010628510273,evaluated
4,poisson,207,24,0.039607439970416776,0.09967382567610068,evaluated
6,poisson,207,24,0.04153242794490426,0.11607392595746796,evaluated
7,poisson,207,24,0.04341315939115114,0.1416489364635844,evaluated
8,poisson,207,24,0.14876310759300326,0.38529517085578524,evaluated
9,poisson,207,24,0.004564317639507006,0.0672245004497231,evaluated
12,poisson,207,24,0.02442949381542155,0.1551309050090938,evaluated
13,poisson,207,24,0.020810073840994443,0.14418821002334703,evaluated
14,poisson,207,24,0.10278258885743119,0.30790324644286926,evaluated
15,poisson,207,24,0.08693426074906652,0.27668363028863413,evaluated
16,poisson,207,24,0.010263673445836978,0.10124459831961945,evaluated
21,poisson,207,24,0.22271260324881426,0.35914427386488185,evaluated
22,poisson,207,24,0.04271061739361926,0.12029875388904278,evaluated
23,poisson,207,24,0.02790902798508764,0.16453800917980346,evaluated
24,poisson,207,24,0.2820221033838249,0.45987513603761077,evaluated
25,poisson,207,24,0.0544088450099387,0.18553287299071006,evaluated
26,poisson,207,24,0.011349451846510795,0.10507002432214226,evaluated
27,poisson,207,24,0.06858554515140351,0.2323999932989532,evaluated
28,poisson,207,24,0.39506247967395963,0.3003365711379006,evaluated
29,poisson,207,24,0.0032369612227989095,0.05686333522149567,evaluated
31,poisson,207,24,0.07900351772668435,0.25626841261304306,evaluated
32,poisson,207,24,0.029161485226997425,0.16954838159446642,evaluated
33,poisson,207,24,0.0006825244680250994,0.024767484374750865,evaluated
34,poisson,207,24,0.02278897218459071,0.15050489398384556,evaluated
35,poisson,207,24,0.0025406301982219613,0.050382414911317654,evaluated
36,poisson,207,24,0.06619750050259864,0.22870222124219156,evaluated
37,poisson,207,24,0.07226546744488829,0.24240993329018745,evaluated
38,poisson,207,24,0.06289351955282073,0.2197206760816671,evaluated
39,poisson,207,24,0.0485739041379559,0.16797843601318094,evaluated
40,poisson,207,24,0.004783764445491382,0.06913878788265888,evaluated
41,poisson,207,24,0.008160326771176469,0.08963752703523713,evaluated
42,poisson,207,24,0.025070883334389334,0.1563430412592081,evaluated
43,poisson,207,24,0.11000333866713836,0.20749809698098673,evaluated
45,poisson,207,24,0.008415419872725852,0.09093112306432576,evaluated
46,poisson,207,24,0.07381950911808803,0.165579959107051,evaluated
47,poisson,207,24,0.004295435257297916,0.0655217317591065,evaluated
48,poisson,207,24,0.01812868014082881,0.134392489862967,evaluated
49,poisson,207,24,0.22550005411953877,0.3736206691513913,evaluated
50,poisson,207,24,0.19429521755293253,0.4349345637312744,evaluated
54,poisson,207,24,0.006098831312141287,0.07804999115598153,evaluated
55,poisson,207,24,0.04113727909517735,0.11295838746886512,evaluated
56,poisson,207,24,0.04628749971229299,0.1528880439131399,evaluated
57,poisson,207,24,0.04277601752285728,0.1275347012368165,evaluated
58,poisson,207,24,0.006559260675639711,0.08097069402831439,evaluated
59,poisson,207,24,0.003906332586899975,0.062236520593700585,evaluated
61,poisson,207,24,0.005290956660688659,0.07269405802692958,evaluated
