hex_id,model,ultima_semana_observada,ultima_contagem,previsao_proxima_semana
110,hist_gradient_boosting,2026-05-25,0.0,0.088977246679667
111,hist_gradient_boosting,2026-05-25,0.0,0.07456140350877193
112,hist_gradient_boosting,2026-05-25,0.0,0.05263157894736842
114,hist_gradient_boosting,2026-05-25,0.0,0.09336717930777808
120,hist_gradient_boosting,2026-05-25,0.0,0.043859649122807015
121,hist_gradient_boosting,2026-05-25,0.0,0.08333333333333333
122,hist_gradient_boosting,2026-05-25,0.0,0.08257366022383507
123,hist_gradient_boosting,2026-05-25,0.0,0.06632992700241658
125,hist_gradient_boosting,2026-05-25,1.0,0.07017543859649122
126,hist_gradient_boosting,2026-05-25,0.0,0.05701754385964912
127,hist_gradient_boosting,2026-05-25,0.0,0.07017543859649122
