hex_id,event_count,event_share,cumulative_share,selected
66,100,0.0322061191626409,0.0322061191626409,True
100,91,0.02930756843800322,0.061513687600644115,True
50,89,0.028663446054750404,0.09017713365539452,True
8,80,0.02576489533011272,0.11594202898550725,True
63,78,0.025120772946859903,0.14106280193236714,True
24,77,0.024798711755233495,0.16586151368760063,True
21,63,0.020289855072463767,0.18615136876006438,True
14,62,0.01996779388083736,0.20611916264090174,True
81,62,0.01996779388083736,0.2260869565217391,True
49,59,0.019001610305958132,0.24508856682769722,True
27,55,0.017713365539452495,0.2628019323671497,True
37,54,0.017391304347826087,0.2801932367149758,True
68,54,0.017391304347826087,0.2975845410628019,True
91,54,0.017391304347826087,0.314975845410628,True
90,53,0.01706924315619968,0.3320450885668277,True
31,52,0.01674718196457327,0.34879227053140094,True
42,52,0.01674718196457327,0.3655394524959742,True
62,49,0.015780998389694042,0.38132045088566824,True
15,48,0.015458937198067632,0.39677938808373586,True
23,48,0.015458937198067632,0.4122383252818035,True
93,47,0.015136876006441223,0.4273752012882447,True
36,45,0.014492753623188406,0.4418679549114331,True
32,41,0.01320450885668277,0.4550724637681159,True
28,40,0.01288244766505636,0.46795491143317225,True
38,40,0.01288244766505636,0.4808373590982286,True
67,38,0.012238325281803542,0.49307568438003213,True
123,37,0.011916264090177134,0.5049919484702092,True
79,35,0.011272141706924315,0.5162640901771336,True
39,34,0.010950080515297906,0.5272141706924315,True
114,34,0.010950080515297906,0.5381642512077294,True
75,33,0.010628019323671498,0.5487922705314009,True
26,32,0.010305958132045089,0.5590982286634459,True
13,31,0.00998389694041868,0.5690821256038646,True
80,31,0.00998389694041868,0.5790660225442833,True
84,31,0.00998389694041868,0.589049919484702,True
3,30,0.00966183574879227,0.5987117552334943,True
7,30,0.00966183574879227,0.6083735909822866,True
25,29,0.00933977455716586,0.6177133655394524,True
108,29,0.00933977455716586,0.6270531400966183,True
74,28,0.009017713365539453,0.6360708534621577,True
83,28,0.009017713365539453,0.6450885668276972,True
89,28,0.009017713365539453,0.6541062801932367,True
22,27,0.008695652173913044,0.6628019323671497,True
34,27,0.008695652173913044,0.6714975845410627,True
82,27,0.008695652173913044,0.6801932367149757,True
12,26,0.008373590982286634,0.6885668276972623,True
65,26,0.008373590982286634,0.6969404186795489,True
110,26,0.008373590982286634,0.7053140096618356,True
48,25,0.008051529790660225,0.7133655394524958,True
