hex_id,ultima_semana_observada,ultima_contagem,previsao_proxima_semana,media_movel_4,tendencia_1,modelo_previsao
0,2026-06-15,0,0.003044268739203229,0.0,0.0,poisson
2,2026-06-15,0,0.07232586776211075,0.0,0.0,poisson
3,2026-06-15,0,0.12345921362882312,0.0,0.0,poisson
4,2026-06-15,0,0.05045761459944819,0.0,0.0,poisson
6,2026-06-15,0,0.0932749981234509,0.0,0.0,poisson
7,2026-06-15,0,0.12217283311264308,0.25,1.0,poisson
8,2026-06-15,0,0.30387942621673986,0.0,0.0,poisson
9,2026-06-15,0,0.07011132502724343,0.0,0.0,poisson
10,2026-06-15,0,0.003923625979240701,0.0,0.0,poisson
11,2026-06-15,0,0.0012405024669040474,0.0,0.0,poisson
12,2026-06-15,0,0.11146736302143703,0.0,0.0,poisson
13,2026-06-15,0,0.13332609132247852,0.0,0.0,poisson
14,2026-06-15,0,0.2818648312805271,0.0,0.0,poisson
15,2026-06-15,0,0.19961192682682471,0.0,0.0,poisson
16,2026-06-15,0,0.09477431680332934,0.0,0.0,poisson
17,2026-06-15,0,0.02412669885433276,0.0,0.0,poisson
18,2026-06-15,0,0.020427628742187523,0.0,0.0,poisson
19,2026-06-15,0,0.007395620121904114,0.0,0.0,poisson
20,2026-06-15,0,0.008011553926021068,0.0,0.0,poisson
21,2026-06-15,0,0.4559359165323972,0.5,2.0,poisson
22,2026-06-15,0,0.1025395635924331,0.0,0.0,poisson
23,2026-06-15,0,0.18799056972595377,0.0,0.0,poisson
24,2026-06-15,0,0.3023377959730979,0.25,0.0,poisson
25,2026-06-15,0,0.12222325896721908,0.25,0.0,poisson
26,2026-06-15,0,0.12149576044632696,0.0,0.0,poisson
27,2026-06-15,0,0.19103768350288022,0.0,0.0,poisson
28,2026-06-15,0,0.17189397230211542,0.0,0.0,poisson
29,2026-06-15,0,0.04782747154771462,0.0,0.0,poisson
31,2026-06-15,0,0.18696526960551318,0.0,0.0,poisson
32,2026-06-15,0,0.17097495468070598,0.0,0.0,poisson
33,2026-06-15,0,0.03690856586874449,0.0,0.0,poisson
34,2026-06-15,0,0.11668187315003858,0.0,0.0,poisson
35,2026-06-15,0,0.047006279347128824,0.0,0.0,poisson
36,2026-06-15,0,0.20382812344560736,0.0,0.0,poisson
37,2026-06-15,0,0.20292896444564373,0.0,0.0,poisson
38,2026-06-15,0,0.16188287726788783,0.0,0.0,poisson
39,2026-06-15,0,0.13224288380830124,0.25,-1.0,poisson
40,2026-06-15,0,0.06418154572588894,0.0,0.0,poisson
41,2026-06-15,0,0.06409482817975744,0.0,0.0,poisson
42,2026-06-15,0,0.18074323326799785,0.0,0.0,poisson
43,2026-06-15,0,0.09652937861739992,0.25,0.0,poisson
44,2026-06-15,0,0.030244771665527,0.0,0.0,poisson
45,2026-06-15,0,0.06415303603324984,0.0,0.0,poisson
