hex_id,ultima_semana_observada,ultima_contagem,previsao_proxima_semana,media_movel_4,tendencia_1,modelo_previsao
69,2026-06-22,0,0.037932127714157104,0.0,0.0,stgcn_poisson_nll
70,2026-06-22,0,0.03726556897163391,0.0,0.0,stgcn_poisson_nll
71,2026-06-22,0,0.038162484765052795,0.0,0.0,stgcn_poisson_nll
72,2026-06-22,0,0.08519020676612854,0.5,0.0,stgcn_poisson_nll
73,2026-06-22,0,0.07521975785493851,0.0,0.0,stgcn_poisson_nll
74,2026-06-22,0,0.03323432430624962,0.0,0.0,stgcn_poisson_nll
75,2026-06-22,0,0.05382715165615082,0.0,0.0,stgcn_poisson_nll
76,2026-06-22,0,0.0628630593419075,0.0,0.0,stgcn_poisson_nll
77,2026-06-22,0,0.042202115058898926,0.0,0.0,stgcn_poisson_nll
78,2026-06-22,0,0.051499415189027786,0.25,-1.0,stgcn_poisson_nll
79,2026-06-22,0,0.03784538805484772,0.0,0.0,stgcn_poisson_nll
80,2026-06-22,0,0.03423655405640602,0.0,0.0,stgcn_poisson_nll
81,2026-06-22,0,0.03568629175424576,0.0,0.0,stgcn_poisson_nll
82,2026-06-22,0,0.03542628139257431,0.0,0.0,stgcn_poisson_nll
83,2026-06-22,0,0.03575539216399193,0.0,0.0,stgcn_poisson_nll
84,2026-06-22,0,0.03590860217809677,0.0,0.0,stgcn_poisson_nll
85,2026-06-22,0,0.035118572413921356,0.0,0.0,stgcn_poisson_nll
86,2026-06-22,0,0.028229929506778717,0.0,0.0,stgcn_poisson_nll
87,2026-06-22,0,0.06216821074485779,0.0,0.0,stgcn_poisson_nll
88,2026-06-22,0,0.07600825279951096,0.25,0.0,stgcn_poisson_nll
89,2026-06-22,0,0.038429297506809235,0.0,0.0,stgcn_poisson_nll
90,2026-06-22,0,0.025729859247803688,0.0,0.0,stgcn_poisson_nll
91,2026-06-22,0,0.06063816696405411,0.0,0.0,stgcn_poisson_nll
92,2026-06-22,0,0.049041226506233215,0.0,0.0,stgcn_poisson_nll
93,2026-06-22,0,0.04236141964793205,0.0,0.0,stgcn_poisson_nll
94,2026-06-22,0,0.042942482978105545,0.0,0.0,stgcn_poisson_nll
95,2026-06-22,0,0.042401425540447235,0.0,0.0,stgcn_poisson_nll
96,2026-06-22,0,0.03831419348716736,0.0,0.0,stgcn_poisson_nll
97,2026-06-22,0,0.036045122891664505,0.0,0.0,stgcn_poisson_nll
98,2026-06-22,0,0.03578736633062363,0.0,0.0,stgcn_poisson_nll
99,2026-06-22,0,0.035782258957624435,0.0,0.0,stgcn_poisson_nll
100,2026-06-22,0,0.03508402407169342,0.0,0.0,stgcn_poisson_nll
101,2026-06-22,0,0.04098183661699295,0.0,0.0,stgcn_poisson_nll
102,2026-06-22,0,0.04664330184459686,0.0,0.0,stgcn_poisson_nll
103,2026-06-22,0,0.049785248935222626,0.0,0.0,stgcn_poisson_nll
104,2026-06-22,0,0.03139263391494751,0.0,0.0,stgcn_poisson_nll
105,2026-06-22,0,0.026542656123638153,0.0,0.0,stgcn_poisson_nll
106,2026-06-22,0,0.049411095678806305,0.0,0.0,stgcn_poisson_nll
107,2026-06-22,0,0.042373813688755035,0.0,0.0,stgcn_poisson_nll
108,2026-06-22,0,0.04613466560840607,0.0,0.0,stgcn_poisson_nll
109,2026-06-22,0,0.06465518474578857,0.0,0.0,stgcn_poisson_nll
110,2026-06-22,0,0.04375353455543518,0.0,0.0,stgcn_poisson_nll
111,2026-06-22,0,0.037709448486566544,0.0,0.0,stgcn_poisson_nll
112,2026-06-22,0,0.03680325299501419,0.0,0.0,stgcn_poisson_nll
113,2026-06-22,0,0.03635809198021889,0.0,0.0,stgcn_poisson_nll
114,2026-06-22,0,0.03546404838562012,0.0,0.0,stgcn_poisson_nll
115,2026-06-22,0,0.028087524697184563,0.0,0.0,stgcn_poisson_nll
116,2026-06-22,0,0.06069815531373024,0.0,0.0,stgcn_poisson_nll
117,2026-06-22,0,0.030571598559617996,0.0,0.0,stgcn_poisson_nll
118,2026-06-22,0,0.031869255006313324,0.0,0.0,stgcn_poisson_nll
119,2026-06-22,0,0.024478677660226822,0.0,0.0,stgcn_poisson_nll
120,2026-06-22,0,0.058737292885780334,0.0,0.0,stgcn_poisson_nll
121,2026-06-22,0,0.07924943417310715,0.25,0.0,stgcn_poisson_nll
122,2026-06-22,0,0.10129840672016144,0.25,1.0,stgcn_poisson_nll
123,2026-06-22,0,0.06596246361732483,0.0,0.0,stgcn_poisson_nll
124,2026-06-22,0,0.04129515960812569,0.0,0.0,stgcn_poisson_nll
125,2026-06-22,0,0.04338551312685013,0.0,0.0,stgcn_poisson_nll
126,2026-06-22,0,0.045823097229003906,0.0,0.0,stgcn_poisson_nll
127,2026-06-22,0,0.03676186501979828,0.0,0.0,stgcn_poisson_nll
128,2026-06-22,0,0.03855230286717415,0.0,0.0,stgcn_poisson_nll
129,2026-06-22,0,0.06133226677775383,0.0,0.0,stgcn_poisson_nll
130,2026-06-22,0,0.09126158058643341,0.5,1.0,stgcn_poisson_nll
131,2026-06-22,0,0.024143502116203308,0.0,0.0,stgcn_poisson_nll
132,2026-06-22,0,0.06960076093673706,0.25,1.0,stgcn_poisson_nll
133,2026-06-22,0,0.07856528460979462,0.0,0.0,stgcn_poisson_nll
134,2026-06-22,0,0.04366612434387207,0.0,0.0,stgcn_poisson_nll
135,2026-06-22,0,0.04034430533647537,0.0,0.0,stgcn_poisson_nll
136,2026-06-22,0,0.04659684747457504,0.0,0.0,stgcn_poisson_nll
137,2026-06-22,0,0.03565637022256851,0.0,0.0,stgcn_poisson_nll
138,2026-06-22,0,0.03150283172726631,0.0,0.0,stgcn_poisson_nll
139,2026-06-22,0,0.046988144516944885,0.0,0.0,stgcn_poisson_nll
140,2026-06-22,0,0.04436802119016647,0.0,0.0,stgcn_poisson_nll
141,2026-06-22,0,0.04500836133956909,0.0,0.0,stgcn_poisson_nll
142,2026-06-22,0,0.018572945147752762,0.0,0.0,stgcn_poisson_nll
143,2026-06-22,0,0.0329335555434227,0.0,0.0,stgcn_poisson_nll
144,2026-06-22,0,0.04898110404610634,0.0,0.0,stgcn_poisson_nll
145,2026-06-22,0,0.05530724674463272,0.0,0.0,stgcn_poisson_nll
146,2026-06-22,0,0.05970689281821251,0.0,0.0,stgcn_poisson_nll
147,2026-06-22,0,0.051240213215351105,0.0,0.0,stgcn_poisson_nll
148,2026-06-22,0,0.030118046328425407,0.0,0.0,stgcn_poisson_nll
150,2026-06-22,0,0.02444099821150303,0.0,0.0,stgcn_poisson_nll
151,2026-06-22,0,0.04454263299703598,0.0,0.0,stgcn_poisson_nll
152,2026-06-22,0,0.035608403384685516,0.0,0.0,stgcn_poisson_nll
153,2026-06-22,0,0.028293706476688385,0.0,0.0,stgcn_poisson_nll
154,2026-06-22,0,0.02654232457280159,0.0,0.0,stgcn_poisson_nll
155,2026-06-22,0,0.04275168478488922,0.0,0.0,stgcn_poisson_nll
156,2026-06-22,0,0.05605743080377579,0.25,0.0,stgcn_poisson_nll
157,2026-06-22,0,0.054827772080898285,0.0,0.0,stgcn_poisson_nll
158,2026-06-22,0,0.027485255151987076,0.0,0.0,stgcn_poisson_nll
159,2026-06-22,0,0.025648657232522964,0.0,0.0,stgcn_poisson_nll
160,2026-06-22,0,0.042982716113328934,0.0,0.0,stgcn_poisson_nll
161,2026-06-22,0,0.053315676748752594,0.0,0.0,stgcn_poisson_nll
162,2026-06-22,0,0.027673806995153427,0.0,0.0,stgcn_poisson_nll
164,2026-06-22,0,0.021547947078943253,0.0,0.0,stgcn_poisson_nll
165,2026-06-22,0,0.04169396311044693,0.0,0.0,stgcn_poisson_nll
166,2026-06-22,0,0.057995639741420746,0.0,0.0,stgcn_poisson_nll
167,2026-06-22,0,0.05948406457901001,0.0,0.0,stgcn_poisson_nll
168,2026-06-22,0,0.038147762417793274,0.0,0.0,stgcn_poisson_nll
169,2026-06-22,0,0.05336114764213562,0.25,-1.0,stgcn_poisson_nll
170,2026-06-22,0,0.046165578067302704,0.0,0.0,stgcn_poisson_nll
172,2026-06-22,0,0.031059686094522476,0.0,0.0,stgcn_poisson_nll
173,2026-06-22,0,0.057135120034217834,0.0,0.0,stgcn_poisson_nll
174,2026-06-22,0,0.04239295423030853,0.0,0.0,stgcn_poisson_nll
175,2026-06-22,0,0.027292689308524132,0.0,0.0,stgcn_poisson_nll
176,2026-06-22,0,0.034939780831336975,0.0,0.0,stgcn_poisson_nll
177,2026-06-22,0,0.01695273071527481,0.0,0.0,stgcn_poisson_nll
179,2026-06-22,0,0.03491645306348801,0.25,0.0,stgcn_poisson_nll
180,2026-06-22,0,0.028856126591563225,0.0,0.0,stgcn_poisson_nll
